id;title;opening;closing;short_desc;lat;lon;zone;type;infos;contact
r419;Les Gazelles;010,010,010,010,010,000,000;0;;43,5188791;5,4498591;Aix;resto;"<img src="""" class=""image-batiment"" />
<h2>Horaires</h2><p>11h45 - 13h30</p>
<h2>Pratique</h2><p><img valign=middle height=32 width=32 src='../../www.crous-amiens.fr/iRestos/images/handicap.gif'/> Accessible aux personnes à mobilité réduite<br/>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";<h2>Les Gazelles</h2><p>31 avenue Jules Ferry 13100 Aix-en-Provence</p>
r628;Les Arts et Métiers;010,010,010,010,010,000,000;1;prolongement de l'ENSAM;43,5302287;5,454456;Aix;resto;"<img src=""../../https@crous.parking.einden.com/static-images/8c068c80835b405e836271340b5579ed.jpg"" class=""image-batiment"" />
<h2>Localisation</h2><p>prolongement de l'ENSAM</p>
<h2>Horaires</h2><p>Du lundi au vendredi : 11h30-13h30</p>
<h2>Pratique</h2><p>400 places<br/>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";"<h2>Les Arts et Métiers</h2><p>Cours des Arts et Métiers - 13621 Aix-en-Provence cedex 1<br/><b>T&#233;l&#233;phone</b> : 04 42 38 03 68</p>"
r629;Les Fenouillères;010,010,010,010,010,000,000;1;Face à la résidence universitaire Li Passeroun;43,5132209;5,4528503;Aix;resto;"<img src="""" class=""image-batiment"" />
<h2>Localisation</h2><p> Face à la résidence universitaire Li Passeroun</p>
<h2>Horaires</h2><p>Du lundi au vendredi : 11h30-13h30</p>
<h2>Pratique</h2><p>proche IUT - Faculté de lettres - Faculté de droit<br/>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";"<h2>Les Fenouillères</h2><p>Avenue Gaston Berger 13621 Aix-en-Provence cedex 1<br/><b>T&#233;l&#233;phone</b> :  04 42 93 58 70</p>"
r630;IAE;010,010,010,010,010,000,000;1;;43,586142;5,422629;Aix;resto;"<img src=""../../https@crous.parking.einden.com/static-images/645fc47f2b1ccffbcfaffc60305f59c8.jpg"" class=""image-batiment"" />
<h2>Horaires</h2><p>Du lundi au vendredi : 11h30-14h00</p>
<h2>Pratique</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/wifi.gif'/> WIFI disponible<br/>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";"<h2>IAE</h2><p>Clos Guiot - Puyricard - CS 30063 - 13089 Aix-en- Provence cedex 2<br/><b>T&#233;l&#233;phone</b> : 04 42 28 08 69</p>"
r631;Cafétéria de Droit;110,110,110,110,110,000,000;1;Au sein de la faculté de droit;43,5191929;5,4468557;Aix;resto;"<img src="""" class=""image-batiment"" />
<h2>Localisation</h2><p>Au sein de la faculté de droit</p>
<h2>Horaires</h2><p>Du lundi au vendredi : 7h00 - 17h00 </p>
<h2>Pratique</h2><p>Terrasse<br/>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";"<h2>Cafétéria de Droit</h2><p>3 avenue Robert Schumann - 13621 Aix-en-Provence cedex 1<br/><b>T&#233;l&#233;phone</b> : 04 42 39 26 57</p>"
r632;Cafétéria IAE;110,110,110,110,110,000,000;1;;43,586142;5,422629;Aix;resto;"<img src="""" class=""image-batiment"" />
<h2>Horaires</h2><p>Du lundi au vendredi : 8h-15h45</p>
<h2>Pratique</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/wifi.gif'/> WIFI disponible<br/>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
</p>";"<h2>Cafétéria IAE</h2><p>Clos Guiot - Puyricard - CS 30063 13089 Aix-en-Provence cedex 2<br/><b>T&#233;l&#233;phone</b> : 04 42 28 08 69</p>"
r633;Cafétéria de l'IUFM;110,110,110,110,110,000,000;1;;43,533717;5,451985;Aix;resto;"<img src="""" class=""image-batiment"" />
<h2>Horaires</h2><p>Du lundi au vendredi : 8h00-16h00</p>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";"<h2>Cafétéria de l'IUFM</h2><p>2 avenue Jules Isaac - 13621 Aix-en-Provence cedex 1<br/><b>T&#233;l&#233;phone</b> :  04 42 96 48 62</p>"
r634;Cafétéria Montperrin;110,110,110,110,110,000,000;1;;43,5173577;5,4379284;Aix;resto;"<img src="""" class=""image-batiment"" />
<h2>Horaires</h2><p>Du lundi au vendredi : 7h30-15h00</p>
<h2>Pratique</h2><p>La salle des distributeurs automatiques de boissons et nourriture est ouverte jusqu?a? 18h<br/>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";"<h2>Cafétéria Montperrin</h2><p>26 rue du Pigonnet - 13090 Aix-en-Provence<br/><b>T&#233;l&#233;phone</b> :  04 42 27 42 33</p>"
r635;Le Croustillant;110,110,110,110,110,000,000;1;;43,5132209;5,4528503;Aix;resto;"<img src="""" class=""image-batiment"" />
<h2>Horaires</h2><p>Du lundi au vendredi : 8h-14h30</p>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";"<h2>Le Croustillant</h2><p>avenue Gaston Berger - 13621 Aix-en-Provence cedex 1<br/><b>T&#233;l&#233;phone</b> : 04 42 93 58 70</p>"
r636;Cafétéria Le Galice;110,110,110,110,110,000,000;1;;43,5311795;5,4326975;Aix;resto;"<img src="""" class=""image-batiment"" />
<h2>Horaires</h2><p>du lundi au vendredi : 7h30-15h00</p>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";<h2>Cafétéria Le Galice</h2><p>rue Jean Dalmas - 13100 Aix-en-Provence</p>
